"sonnet"	"line"	"term1"	"term2"	"term3"	"term4"	"term5"	"term6"	"term7"	"term8"	"term9"	"term10"	"syllabsperline"
"82"	"sonnet6"	12	2	1	2	1	4	NA	NA	NA	NA	NA	10
"83"	"sonnet6"	13	1	1	1	1	1	1	1	1	1	1	10
"84"	"sonnet6"	14	1	1	1	2	1	1	1	1	1	NA	10
"85"	"sonnet7"	1	1	1	1	2	1	1	2	1	NA	NA	10
"86"	"sonnet7"	2	1	1	1	2	1	1	2	1	NA	NA	10
"87"	"sonnet7"	3	1	2	1	1	1	3	1	NA	NA	NA	10
"88"	"sonnet7"	4	2	1	1	1	2	3	NA	NA	NA	NA	10
"89"	"sonnet7"	5	1	2	1	1	1	1	2	1	NA	NA	10
"90"	"sonnet7"	6	3	1	1	1	1	2	1	NA	NA	NA	10
"91"	"sonnet7"	7	1	2	1	2	1	2	1	NA	NA	NA	10
"92"	"sonnet7"	8	3	1	1	2	3	NA	NA	NA	NA	NA	10
"93"	"sonnet7"	9	1	1	1	2	1	1	2	1	NA	NA	10
"94"	"sonnet7"	10	1	2	1	1	2	1	1	1	NA	NA	10
"95"	"sonnet7"	11	1	1	1	2	1	3	1	NA	NA	NA	10
"96"	"sonnet7"	12	1	1	1	1	1	1	3	1	NA	NA	10
"97"	"sonnet7"	13	1	1	2	3	1	1	1	NA	NA	NA	10
"98"	"sonnet7"	14	2	1	2	1	1	1	1	1	NA	NA	10
"99"	"sonnet8"	1	2	1	1	1	1	1	2	2	NA	NA	11
"100"	"sonnet8"	2	1	1	1	1	1	1	2	1	1	NA	10
"101"	"sonnet8"	3	1	1	1	1	1	1	2	1	2	NA	11
"102"	"sonnet8"	4	1	1	2	1	2	1	2	NA	NA	NA	10
"103"	"sonnet8"	5	1	1	1	2	1	1	2	1	NA	NA	10
"104"	"sonnet8"	6	1	2	2	1	2	1	1	NA	NA	NA	10
"105"	"sonnet8"	7	1	1	1	2	1	1	1	2	NA	NA	10
"106"	"sonnet8"	8	1	3	1	1	1	1	1	1	NA	NA	10
"107"	"sonnet8"	9	1	1	1	1	1	2	1	3	NA	NA	11
"108"	"sonnet8"	10	1	1	1	1	1	2	3	NA	NA	NA	10
"109"	"sonnet8"	11	2	1	1	1	1	2	2	NA	NA	NA	10
"110"	"sonnet8"	12	1	1	1	1	1	2	1	1	1	NA	10
"111"	"sonnet8"	13	1	2	1	1	2	2	1	NA	NA	NA	10
"112"	"sonnet8"	14	1	1	1	1	1	2	1	1	1	NA	10
"113"	"sonnet9"	1	1	1	1	1	1	1	1	2	1	NA	10
"114"	"sonnet9"	2	1	1	2	2	1	2	1	NA	NA	NA	10
"115"	"sonnet9"	3	1	1	1	3	1	1	1	1	NA	NA	10
"116"	"sonnet9"	4	1	1	1	1	1	1	1	2	1	NA	10
"117"	"sonnet9"	5	1	1	1	1	1	2	1	1	1	NA	10
"118"	"sonnet9"	6	1	1	1	1	1	1	1	1	2	NA	10
"119"	"sonnet9"	7	1	2	2	2	1	1	1	NA	NA	NA	10
"120"	"sonnet9"	8	1	2	1	1	2	1	1	1	NA	NA	10
"121"	"sonnet9"	9	1	1	1	2	1	1	1	1	1	NA	10
"122"	"sonnet9"	10	1	1	1	1	1	1	1	1	2	1	11
"123"	"sonnet9"	11	1	2	1	1	1	1	1	1	1	NA	10
"124"	"sonnet9"	12	1	1	2	1	2	1	2	1	NA	NA	11
"125"	"sonnet9"	13	1	1	1	2	1	1	2	1	NA	NA	10
"126"	"sonnet9"	14	1	1	2	1	2	1	2	NA	NA	NA	10
"127"	"sonnet10"	1	1	1	2	1	1	1	1	1	2	NA	11
"128"	"sonnet10"	2	1	1	2	1	1	4	NA	NA	NA	NA	10
"129"	"sonnet10"	3	1	1	1	1	1	1	2	1	2	NA	11
"130"	"sonnet10"	4	1	1	1	1	1	1	1	3	NA	NA	10
"131"	"sonnet10"	5	1	1	1	1	2	1	2	1	NA	NA	10
"132"	"sonnet10"	6	1	1	2	1	1	1	1	2	NA	NA	10
"133"	"sonnet10"	7	2	1	2	1	1	3	NA	NA	NA	NA	10
"134"	"sonnet10"	8	1	1	2	1	1	1	1	2	NA	NA	10
"135"	"sonnet10"	9	1	1	1	1	1	1	1	1	1	1	10
"136"	"sonnet10"	10	1	1	1	2	1	1	2	1	NA	NA	10
"137"	"sonnet10"	11	1	1	1	2	1	2	1	1	NA	NA	10
"138"	"sonnet10"	12	1	1	2	1	1	1	2	1	NA	NA	10
"139"	"sonnet10"	13	1	1	3	1	1	1	1	1	NA	NA	10
"140"	"sonnet10"	14	1	2	1	1	1	1	1	1	1	NA	10
"141"	"sonnet11"	1	1	1	1	1	1	1	1	1	1	1	10
"142"	"sonnet11"	2	1	1	1	1	1	1	1	1	3	NA	11
"143"	"sonnet11"	3	1	1	1	1	1	2	1	2	NA	NA	10
"144"	"sonnet11"	4	1	1	1	1	1	1	1	1	3	NA	11
"145"	"sonnet11"	5	2	1	2	2	1	2	NA	NA	NA	NA	10
"146"	"sonnet11"	6	2	1	2	1	1	1	2	NA	NA	NA	10
"147"	"sonnet11"	7	1	1	1	2	1	1	1	1	1	NA	10
"148"	"sonnet11"	8	1	2	1	1	1	1	1	2	NA	NA	10
"149"	"sonnet11"	9	1	1	1	2	1	1	1	1	1	NA	10
"150"	"sonnet11"	10	1	3	1	1	3	2	NA	NA	NA	NA	11
"151"	"sonnet11"	11	1	1	1	1	2	1	1	1	1	NA	10
"152"	"sonnet11"	12	1	2	1	1	1	1	2	2	NA	NA	11
"153"	"sonnet11"	13	1	1	1	1	1	1	1	1	2	NA	10
"154"	"sonnet11"	14	1	1	1	1	1	1	1	2	1	NA	10
"155"	"sonnet12"	1	1	1	1	1	1	1	1	1	1	1	10
"156"	"sonnet12"	2	1	1	1	1	1	1	1	2	1	NA	10
"157"	"sonnet12"	3	1	1	2	1	3	1	1	NA	NA	NA	10
"158"	"sonnet12"	4	1	2	1	1	2	1	1	1	NA	NA	10
